index,max_speed,max_rotation,max_acc,avg_acc,avg_rotation,avg_speed,min_acc,min_speed,min_rotation,score
4063,13.13,0.02998352,1.9163643,1.174941613,0.0122909546,13.077,0.29441768,13.04,0.0002593994,7.4
4064,13.13,0.02998352,1.9163643,1.033183137,0.01291961671,13.069,0.00418514,13.04,0.0002593994,7.4
6221,13.05,0.013366699,1.8279531,1.0018796976,0.0061477660367,12.813,0.035259366,12.57,4.5776367E-05,7.4
6381,16.49,0.020721436,1.988199,1.17605759,0.01190948485,15.432,0.43825686,14.26,0.0019683838,7.4
6392,14.26,0.039367676,1.63439,1.025050093,0.019448852585,14.005,0.49729812,13.71,0.00090026855,7.4
4065,13.13,0.02998352,1.7860858,0.980599567,0.0105010986467,13.061,0.00418514,13.04,4.5776367E-05,7.5
4066,13.13,0.02998352,1.7860858,0.931437011,0.0114929199067,13.053,0.00418514,13.04,4.5776367E-05,7.5
4067,13.05,0.02998352,1.6926861,0.828987141,0.0118759155067,13.045,0.00418514,13.04,4.5776367E-05,7.5
4068,13.05,0.02998352,1.6926861,0.813743916,0.0097351073467,13.012,0.00418514,12.71,4.5776367E-05,7.5
4069,13.05,0.02998352,1.6926861,0.710529209,0.0096603392867,12.979,0.00418514,12.71,4.5776367E-05,7.5
4072,13.05,0.028076172,1.8625942,0.748829591,0.0076812744167,12.88,0.00418514,12.71,4.5776367E-05,7.5
4073,13.05,0.028076172,1.8625942,0.796453771,0.0084152221167,12.803,0.00418514,12.28,4.5776367E-05,7.5
4074,13.05,0.028076172,1.8625942,0.869095937,0.0077545165467,12.726,0.1088883,12.28,4.5776367E-05,7.5
6218,12.96,0.013366699,1.8279531,0.8471838496,0.0069656371767,12.615,0.035259366,12.21,4.5776367E-05,7.5
6219,12.96,0.013366699,1.8279531,0.9522762936,0.0067962646067,12.69,0.035259366,12.21,4.5776367E-05,7.5
6220,12.96,0.013366699,1.8279531,0.9118467776,0.0067871093367,12.765,0.035259366,12.57,4.5776367E-05,7.5
6222,13.05,0.03062439,1.8279531,0.8920679056,0.0087677001367,12.861,0.035259366,12.57,4.5776367E-05,7.5
6223,13.05,0.03062439,1.8279531,0.8885754786,0.0091934203367,12.909,0.035259366,12.57,4.5776367E-05,7.5
6224,13.05,0.03062439,1.8279531,0.8804436886,0.0085861205667,12.957,0.035259366,12.57,4.5776367E-05,7.5
