index,max_speed,max_rotation,max_acc,avg_acc,avg_rotation,avg_speed,min_acc,min_speed,min_rotation,score
1,0,0.0027160645,1.2859154,0.5827709274,0.0013320922900000001,0.0,0.093128204,0.0,0.00015258788999999998,9.3
2,0,0.0027160645,1.2859154,0.6284117674,0.00126953125,0.0,0.093128204,0.0,0.00015258788999999998,9.3
3,0,0.0027160645,1.2077183999999999,0.5038018654,0.00118560791,0.0,0.03981638,0.0,0.00015258788999999998,9.3
4,0,0.0027160645,1.2077183999999999,0.5365753724,0.001292419431,0.0,0.03981638,0.0,0.00016784668000000003,9.3
5,0,0.0027160645,1.2077183999999999,0.6103885754,0.001206970211,0.0,0.03981638,0.0,0.00016784668000000003,9.3
6,0,0.0027160645,1.2077183999999999,0.5189461574,0.001132202147,0.0,0.03981638,0.0,0.00016784668000000003,9.3
7,0,0.0027160645,1.2077183999999999,0.5833336339999999,0.0013656616240000001,0.0,0.03981638,0.0,0.00016784668000000003,9.3
8,0,0.0027160645,1.4887920000000001,0.694947998,0.001110839842,0.0,0.03981638,0.0,0.00016784668000000003,9.3
9,0,0.0027160645,1.4887920000000001,0.617215405,0.001333618164,0.0,0.03981638,0.0,0.00016784668000000003,9.3
10,0,0.0029296875,1.4887920000000001,0.664532138,0.001524353024,0.0,0.03981638,0.0,0.00016784668000000003,9.3
11,0,0.0029296875,1.4887920000000001,0.718119178,0.001460266114,0.0,0.03981638,0.0,0.00016784668000000003,9.3
12,0,0.0029296875,1.4887920000000001,0.601260061,0.001396179204,0.0,0.03912723,0.0,0.00016784668000000003,9.3
13,0,0.0029296875,1.4887920000000001,0.6272047470000001,0.0014160156340000001,0.0,0.03912723,0.0,0.00016784668000000003,9.3
14,0,0.0029296875,1.4887920000000001,0.6949837170000001,0.001565551774,0.0,0.03912723,0.0,0.00016784668000000003,9.3
15,0,0.0029296875,1.4887920000000001,0.593828386,0.001565551774,0.0,0.03912723,0.0,0.00016784668000000003,9.3
16,0,0.0029296875,1.4887920000000001,0.6078668300000001,0.001811218278,0.0,0.03912723,0.0,0.00016784668000000003,9.3
17,0,0.0029296875,1.4887920000000001,0.58907643,0.001640319838,0.0,0.03912723,0.0,0.00016784668000000003,9.3
