LAT,LONG,accX,accY,accZ,gyroX,gyroY,gyroZ,Speed,Rotation,Timestamp In mills,Timestamp In Date
null,null,null,null,null,0.00289917,-0.0015563965,0.0018615723,null,null,1557513400073,11-May-2019
null,null,-3.2851522,2.6208382,0.664974,-2.89917E-4,-6.1035156E-5,-4.5776367E-5,null,-78.30482,1557513400149,11-May-2019
null,null,-4.1553097,2.5841093,-0.66650677,-0.0013580322,-0.002609253,0.0027160645,null,-78.30482,1557513400354,11-May-2019
null,null,-4.24976,1.7348146,1.0188457,0.003112793,-4.8828125E-4,3.8146973E-4,null,-78.38736,1557513400556,11-May-2019
18.54947151,73.94293872,-2.9876637,2.0077844,0.27013636,-0.0017700195,-0.0011291504,0.0012207031,0.0,-78.38736,1557513400752,11-May-2019
18.54947151,73.94293872,-4.406358,2.6809058,-0.75131,-5.0354004E-4,-0.0021820068,0.0018615723,0.0,-78.59372,1557513400958,11-May-2019
18.54947151,73.94293872,-4.260872,1.598711,1.2859154,0.0035552979,-4.8828125E-4,0.0016479492,0.0,-78.33503,1557513401158,11-May-2019
18.54947151,73.94293872,-3.411288,2.2082062,0.11085713,-0.0024108887,-0.0013427734,1.5258789E-4,0.0,-78.36821,1557513401358,11-May-2019
18.54947151,73.94293872,-4.1036005,2.3298607,-0.43806767,3.5095215E-4,-0.0023956299,0.0025024414,0.0,-78.585365,1557513401559,11-May-2019
18.54941634,73.94302333,-4.14996,1.8047042,0.98043394,0.0024719238,-9.0026855E-4,0.0012207031,0.0,-78.369675,1557513401755,11-May-2019
18.54941634,73.94302333,-3.3241947,2.1395783,0.093128204,-0.0024108887,-2.746582E-4,3.8146973E-4,0.0,-78.40709,1557513401959,11-May-2019
18.54941634,73.94302333,-4.4797063,2.3750553,-0.37264836,5.645752E-4,-0.002822876,0.0027160645,0.0,-78.58124,1557513402159,11-May-2019
18.54941634,73.94302333,-4.560423,1.6250272,1.086209,0.0018463135,-4.8828125E-4,1.6784668E-4,0.0,-78.34781,1557513402360,11-May-2019
18.54941634,73.94302333,-3.206856,2.1156292,0.10758197,-0.0013580322,-0.0013427734,0.0010223389,0.0,-78.39529,1557513402560,11-May-2019
18.54941404,73.94301299,-4.399789,2.4824896,-0.6015576,-7.171631E-4,-0.0017700195,0.0016479492,0.0,-78.619255,1557513402759,11-May-2019
18.54941404,73.94301299,-4.374241,1.6167846,1.2077184,0.0024871826,-0.0011291504,0.0012359619,0.0,-78.36962,1557513402962,11-May-2019
18.54941404,73.94301299,-3.4254353,2.246863,-0.03981638,-0.0015716553,-2.746582E-4,8.087158E-4,0.0,-78.438354,1557513403162,11-May-2019
18.54941404,73.94301299,-4.2514024,2.4501128,-0.4385922,-7.6293945E-5,-0.002609253,0.0012207031,0.0,-78.58667,1557513403366,11-May-2019
18.54941404,73.94301299,-4.3383675,1.6966705,1.1761997,0.003112793,-9.1552734E-4,0.0016479492,0.0,-78.58667,1557513403563,11-May-2019
