LAT,LONG,accX,accY,accZ,gyroX,gyroY,gyroZ,Speed,Rotation,Timestamp In mills,Timestamp In Date
null,null,-19.46415,6.813401,0.40660644,-4.8828125E-4,-6.1035156E-5,-9.1552734E-4,null,-81.24127,1557000597175,05-May-2019
null,null,-6.4963713,2.3051667,0.25248253,-7.019043E-4,3.6621094E-4,-0.0013427734,null,-81.25205,1557000597262,05-May-2019
null,null,-6.9939275,2.2205024,0.017860174,-2.746582E-4,9.918213E-4,-9.1552734E-4,null,-81.28442,1557000597463,05-May-2019
null,null,-7.0679083,2.1248512,0.017880797,-0.0013427734,-2.746582E-4,-9.1552734E-4,null,-81.232475,1557000597669,05-May-2019
null,null,-6.8802004,2.1131568,0.10951984,-6.1035156E-5,3.6621094E-4,-0.0021820068,null,-81.229004,1557000597870,05-May-2019
null,null,-6.3125696,1.692038,0.32300508,1.5258789E-4,0.0014190674,-0.0017547607,null,-81.12712,1557000598069,05-May-2019
null,null,-6.676704,1.9642715,0.43716466,3.6621094E-4,3.5095215E-4,-4.8828125E-4,null,-81.21165,1557000598270,05-May-2019
null,null,-7.0439224,1.7925687,0.44131374,-4.8828125E-4,5.645752E-4,-0.0011138916,null,-81.16713,1557000598470,05-May-2019
18.57586899,73.90499477,-7.987318,2.7192688,-0.37580657,-0.0019836426,-7.019043E-4,3.6621094E-4,0.0,-81.30374,1557000598666,05-May-2019
18.57586899,73.90499477,-7.8148537,2.6261396,-0.6670797,-4.8828125E-4,5.645752E-4,-0.0013275146,0.0,-81.302635,1557000598867,05-May-2019
18.57586899,73.90499477,-7.6122932,2.7559123,-0.6704527,-7.019043E-4,-6.1035156E-5,-2.746582E-4,0.0,-81.289635,1557000599071,05-May-2019
18.57586899,73.90499477,-6.8188386,2.121523,-0.1378429,7.9345703E-4,1.373291E-4,-9.1552734E-4,0.0,-81.213165,1557000599272,05-May-2019
18.57586899,73.90499477,-6.466456,1.9267731,0.37584817,1.5258789E-4,-7.019043E-4,-7.019043E-4,0.0,-81.14322,1557000599473,05-May-2019
18.57586883,73.90499413,-6.191713,1.6281052,0.73894954,-0.0019836426,-0.0011291504,-0.0011291504,0.0,-81.07925,1557000599673,05-May-2019
18.57586883,73.90499413,-6.337047,1.8671722,0.856567,-0.002822876,-0.0024108887,-2.746582E-4,0.0,-81.0815,1557000599873,05-May-2019
18.57586883,73.90499413,-7.138725,2.4219947,0.14342606,-0.0030517578,-0.0021972656,0.0014343262,0.0,-81.10844,1557000600070,05-May-2019
18.57586883,73.90499413,-6.657352,1.7049942,0.6579274,0.0010070801,1.5258789E-4,-0.0013275146,0.0,-81.164566,1557000600274,05-May-2019
18.57586883,73.90499413,-6.730475,1.6861243,0.29871547,-0.0026245117,-0.0019836426,7.9345703E-4,0.0,-81.17737,1557000600477,05-May-2019
18.57586745,73.90499206,-6.832691,2.034483,0.17042804,0.0018615723,5.645752E-4,-0.0019683838,0.0,-81.243805,1557000600675,05-May-2019
18.57586745,73.90499206,-6.799751,2.1995835,-0.23004305,-0.0034637451,0.0016326904,-6.1035156E-5,0.0,-81.11726,1557000600876,05-May-2019
18.57586745,73.90499206,-7.331203,2.2438827,0.016464353,0.0025024414,0.0012054443,-0.003036499,0.0,-81.0914,1557000601076,05-May-2019
18.57586745,73.90499206,-6.993772,2.388842,-0.070753574,-0.0013427734,0.0012054443,3.6621094E-4,0.0,-81.0958,1557000601277,05-May-2019
18.57586745,73.90499206,-6.8229675,1.9731274,0.11286497,1.5258789E-4,0.0022735596,-0.0021820068,0.0,-81.0958,1557000601478,05-May-2019
18.57586881,73.90498636,-6.217035,1.8838272,0.53936553,7.9345703E-4,0.0016326904,-0.0011138916,0.0,-81.09554,1557000601678,05-May-2019
18.57586881,73.90498636,-6.7198386,2.0042639,0.38158774,-9.1552734E-4,0.0012054443,-2.746582E-4,0.0,-81.0406,1557000601879,05-May-2019
18.57586881,73.90498636,-7.1325116,2.092433,0.2606697,-0.0021972656,-0.0028381348,-6.1035156E-5,0.0,-81.09145,1557000602079,05-May-2019
18.57586881,73.90498636,-6.844521,1.9442415,0.19070911,1.5258789E-4,-0.00390625,-2.746582E-4,0.0,-81.10865,1557000602280,05-May-2019
18.57586881,73.90498636,-6.8155527,1.9890795,0.077507734,-7.019043E-4,-0.0056152344,-9.1552734E-4,0.0,-81.215294,1557000602480,05-May-2019
18.57586834,73.90498591,-7.2698293,2.31391,-0.08915305,5.79834E-4,-0.008590698,0.0012207031,0.0,-81.215294,1557000602681,05-May-2019
18.57586834,73.90498591,-6.727904,1.878653,0.31036806,0.0016479492,-0.011154175,-0.002822876,0.0,-81.33329,1557000602882,05-May-2019
18.57586834,73.90498591,-7.003095,2.283803,-0.08324635,0.0014343262,-0.020950317,-0.0034637451,0.0,-81.49274,1557000603082,05-May-2019
18.57586834,73.90498591,-7.4044175,2.4952936,-0.35222113,0.006958008,-0.023071289,-0.008148193,0.0,-81.618645,1557000603283,05-May-2019
18.57586834,73.90498591,-6.629828,1.815671,0.25483882,0.0029144287,-0.029251099,-0.0038909912,0.0,-81.618645,1557000603484,05-May-2019
18.57586887,73.90498571,-7.7598825,3.0983648,-0.4564786,0.0061187744,-0.03543091,-0.0015411377,0.0,-81.6734,1557000603685,05-May-2019
18.57586887,73.90498571,-6.6325884,1.6416245,0.45530486,0.0076141357,-0.047790527,-0.0053863525,0.0,-81.72583,1557000603885,05-May-2019
18.57586887,73.90498571,-7.578944,2.3761902,0.21207964,0.014846802,-0.067611694,-0.0049591064,0.0,-81.93169,1557000604086,05-May-2019
18.57586887,73.90498571,-6.846141,1.8505659,-0.07796788,0.011444092,-0.09338379,-0.0045318604,0.0,-82.05551,1557000604286,05-May-2019
