LAT,LONG,accX,accY,accZ,gyroX,gyroY,gyroZ,Speed,Timestamp In mills,Timestamp In Date
null,null,null,null,null,-0.0024871826,0.004470825,0.0060272217,null,1539451668656,13-Oct-2018
null,null,null,null,null,6.1035156E-5,0.011505127,6.1035156E-5,null,1539451668746,13-Oct-2018
null,null,null,null,null,7.019043E-4,0.010864258,4.8828125E-4,null,1539451668947,13-Oct-2018
null,null,null,null,null,-7.9345703E-4,0.008300781,0.0011291504,null,1539451669148,13-Oct-2018
18.556691,73.9479281,null,null,null,0.0013427734,0.0066070557,-0.0014343262,0.0,1539451669348,13-Oct-2018
18.556691,73.9479281,null,null,null,-0.0029144287,0.0019073486,-7.7819824E-4,0.0,1539451669549,13-Oct-2018
18.556691,73.9479281,null,null,null,2.746582E-4,-0.005554199,-0.0029144287,0.0,1539451669750,13-Oct-2018
18.556691,73.9479281,null,null,null,0.0013427734,-0.012359619,-0.005050659,0.0,1539451669951,13-Oct-2018
18.556691,73.9479281,null,null,null,-0.008026123,0.0025482178,-0.019332886,0.0,1539451670151,13-Oct-2018
18.556691,73.9479281,null,null,null,0.006668091,-0.018112183,0.003692627,0.0,1539451670352,13-Oct-2018
18.556691,73.9479281,null,null,null,0.0045318604,-0.0070343018,-1.5258789E-4,0.0,1539451670551,13-Oct-2018
18.556691,73.9479281,null,null,null,4.8828125E-4,0.0051116943,-0.0056915283,0.0,1539451670752,13-Oct-2018
18.556691,73.9479281,null,null,null,-5.79834E-4,0.0019073486,0.0038909912,0.0,1539451670954,13-Oct-2018
18.556691,73.9479281,null,null,null,2.746582E-4,0.007232666,2.746582E-4,0.0,1539451671155,13-Oct-2018
18.556691,73.9479281,null,null,null,2.746582E-4,0.011932373,7.019043E-4,0.0,1539451671357,13-Oct-2018
18.556691,73.9479281,null,null,null,7.019043E-4,0.0129852295,-5.79834E-4,0.0,1539451671556,13-Oct-2018
18.556691,73.9479281,null,null,null,-0.0024871826,0.010009766,6.1035156E-5,0.0,1539451671757,13-Oct-2018
18.556691,73.9479281,null,null,null,-7.9345703E-4,0.0068206787,6.1035156E-5,0.0,1539451671959,13-Oct-2018
18.556691,73.9479281,null,null,null,0.004119873,0.0057525635,9.1552734E-4,0.0,1539451672159,13-Oct-2018
18.556691,73.9479281,null,null,null,-7.7819824E-4,0.0023345947,-7.9345703E-4,0.0,1539451672360,13-Oct-2018
18.556691,73.9479281,null,null,null,-0.0014343262,0.0023345947,-0.005050659,0.0,1539451672562,13-Oct-2018
18.556691,73.9479281,null,null,null,-0.004837036,0.007232666,2.746582E-4,0.0,1539451672760,13-Oct-2018
18.556691,73.9479281,null,null,null,0.01071167,-0.011306763,0.0047454834,0.0,1539451672962,13-Oct-2018
18.556691,73.9479281,null,null,null,-0.0069732666,-6.4086914E-4,-5.79834E-4,0.0,1539451673160,13-Oct-2018
18.556691,73.9479281,null,null,null,0.0026245117,0.010223389,-0.008880615,0.0,1539451673361,13-Oct-2018
18.556691,73.9479281,null,null,null,-0.004623413,0.0012664795,-0.00440979,0.0,1539451673562,13-Oct-2018
18.556691,73.9479281,null,null,null,0.0032653809,0.0019073486,7.019043E-4,0.0,1539451673763,13-Oct-2018
18.556691,73.9479281,null,null,null,0.0032653809,-6.4086914E-4,0.0015563965,0.0,1539451673979,13-Oct-2018
18.556691,73.9479281,null,null,null,-7.9345703E-4,-0.004699707,0.0013427734,0.0,1539451674165,13-Oct-2018
18.556691,73.9479281,-0.11810188,3.1714163,0.57285,-0.005264282,0.0027618408,-0.0065307617,0.0,1539451674404,13-Oct-2018
18.556691,73.9479281,-0.18027349,0.4832821,0.079297066,0.0053863525,0.0023345947,7.019043E-4,0.0,1539451674604,13-Oct-2018
18.556691,73.9479281,0.1688113,0.088023186,-0.11180973,7.019043E-4,-0.0059661865,0.0032653809,0.0,1539451674806,13-Oct-2018
18.556691,73.9479281,-0.035027787,-0.08534813,0.33509958,-0.0016479492,-8.544922E-4,-3.6621094E-4,0.0,1539451675008,13-Oct-2018
18.55549433,73.94746517,0.043025777,0.0988636,-0.1545273,0.0011291504,0.0,-0.0020751953,0.45,1539451675208,13-Oct-2018
18.55549433,73.94746517,0.019730546,-0.05094719,0.04539156,-0.0016479492,-0.0023498535,-3.6621094E-4,0.45,1539451675409,13-Oct-2018
18.55549433,73.94746517,-0.33597234,0.19318104,-0.004695654,-7.9345703E-4,-0.008743286,-0.00440979,0.45,1539451675609,13-Oct-2018
18.55549433,73.94746517,0.05283215,-0.19283295,0.2749226,0.0013427734,-0.018753052,-0.004196167,0.45,1539451675810,13-Oct-2018
18.55549433,73.94746517,-0.16685358,0.13028145,-0.10269475,-3.6621094E-4,-0.023864746,-0.008026123,0.45,1539451676011,13-Oct-2018
